HSIbyAuth,Dan_Cohan,Sally_Gall,Goodwin_MX,Goodwin_AZ,Roy_Tomlinson,Dave_Ellis,Literature_AZ,Literature_MX
6.227585e-01,4.079829e-01,2.005199e-01,2.118000e-01,3.710081e-01,9.124863e-02,1.655219e-02,2.457428e-01,1.873219e-01
6.018520e-01,2.968845e-01,1.697999e-01,2.260412e-01,3.882086e-01,9.019249e-02,4.973927e-03,2.554093e-01,1.968750e-01
5.147760e-01,2.421373e-01,3.017768e-01,2.320241e-01,3.776741e-01,8.872124e-02,2.374863e-03,2.712512e-01,2.126363e-01
4.958127e-01,1.862169e-01,3.094705e-01,2.782077e-01,4.387776e-01,8.694712e-02,2.448252e-03,2.491153e-01,1.905160e-01
4.775655e-01,1.712480e-01,2.187428e-01,2.511716e-01,3.639618e-01,8.493536e-02,2.897700e-03,1.767025e-01,1.182317e-01
5.156726e-01,1.760752e-01,1.871804e-01,2.205389e-01,4.221681e-01,8.284102e-02,3.313292e-03,1.383117e-01,8.002975e-02
5.529014e-01,1.536445e-01,1.601681e-01,2.001788e-01,3.647117e-01,8.078414e-02,4.014969e-03,1.725204e-01,1.142728e-01
6.066776e-01,2.304582e-01,2.682124e-01,1.916746e-01,3.781871e-01,8.031912e-02,5.941697e-03,2.349108e-01,1.765652e-01
6.571653e-01,3.471800e-01,2.019078e-01,1.923673e-01,4.043311e-01,8.322899e-02,1.250297e-02,2.535182e-01,1.952676e-01
7.073997e-01,3.325805e-01,1.985175e-01,2.062205e-01,6.035613e-01,8.532450e-02,3.832953e-02,3.250890e-01,2.672243e-01
5.668064e-01,2.890847e-01,2.237126e-01,1.777408e-01,4.031337e-01,1.013250e-01,1.316530e-01,3.755467e-01,3.179937e-01
5.680732e-01,1.597922e-01,1.597922e-01,2.115045e-01,3.931650e-01,1.106936e-01,3.019314e-01,3.778526e-01,3.203004e-01
5.653038e-01,0.000000e+00,0.000000e+00,1.288426e-01,3.409245e-01,7.579626e-02,4.370017e-01,4.202139e-01,3.626628e-01
5.887325e-01,2.162409e-03,2.162409e-03,4.801924e-01,         NaN,2.214755e-01,1.106637e-01,1.688940e-01,1.105465e-01
6.219293e-01,1.864865e-03,1.864865e-03,5.145163e-01,2.976341e-02,2.059781e-01,8.563050e-02,1.119230e-01,5.360124e-02
6.206303e-01,4.894139e-03,4.894139e-03,5.352752e-01,1.314446e-01,2.192259e-01,9.311235e-02,1.020586e-01,4.374730e-02
6.210050e-01,1.494992e-01,1.494992e-01,5.439668e-01,1.624477e-01,2.408995e-01,1.170347e-01,9.569152e-02,3.737563e-02
6.235881e-01,1.367660e-01,1.367660e-01,5.386977e-01,1.732911e-01,1.678811e-01,5.298577e-02,9.193367e-02,3.359295e-02
6.244364e-01,1.235305e-01,1.235305e-01,5.274685e-01,1.586668e-01,1.105910e-01,2.236918e-02,9.352798e-02,3.515747e-02
6.216505e-01,1.107450e-01,1.107450e-01,5.170620e-01,1.322823e-01,9.309715e-02,3.412574e-02,9.919289e-02,4.079146e-02
6.231440e-01,1.118572e-01,1.118572e-01,5.176836e-01,7.989937e-02,9.313717e-02,6.097757e-02,1.096052e-01,5.120375e-02
6.273203e-01,1.339245e-01,1.339245e-01,5.183547e-01,         NaN,9.284586e-02,7.885663e-02,1.292451e-01,7.085847e-02
6.258039e-01,1.642932e-01,1.642932e-01,5.204786e-01,         NaN,9.720541e-02,7.163400e-02,1.566092e-01,9.825066e-02
6.112135e-01,1.971579e-01,1.971579e-01,5.232797e-01,         NaN,9.956770e-02,4.387602e-02,1.804820e-01,1.221619e-01
6.002414e-01,2.548047e-01,2.548047e-01,5.259577e-01,         NaN,9.972332e-02,1.445546e-02,1.922964e-01,1.340210e-01
6.054528e-01,2.590621e-01,2.590621e-01,5.195798e-01,         NaN,1.013793e-01,1.887534e-03,2.023938e-01,1.441603e-01
6.006166e-01,7.983643e-02,7.983643e-02,4.849007e-01,         NaN,1.039803e-01,3.743715e-04,2.099735e-01,1.517777e-01
5.844090e-01,8.988673e-03,8.988673e-03,4.314143e-01,         NaN,1.055082e-01,2.434872e-04,2.139118e-01,1.557432e-01
5.581067e-01,1.019147e-02,1.019147e-02,3.898512e-01,         NaN,1.048828e-01,1.486757e-04,2.134959e-01,1.553351e-01
5.575101e-01,1.083582e-02,1.083582e-02,3.688359e-01,         NaN,9.873890e-02,8.757500e-05,2.089813e-01,1.508080e-01
5.520865e-01,1.136965e-02,1.136965e-02,3.521753e-01,         NaN,9.341609e-02,9.383942e-05,2.023845e-01,1.441074e-01
5.691644e-01,1.198785e-02,1.198785e-02,3.337832e-01,         NaN,9.014086e-02,2.029475e-03,1.943302e-01,1.360292e-01
5.582256e-01,1.376336e-02,1.376336e-02,2.866674e-01,1.623886e-01,8.902837e-02,4.239314e-02,1.856725e-01,1.273480e-01
5.636703e-01,1.564847e-02,1.564847e-02,2.477849e-01,2.130253e-01,8.904106e-02,2.043330e-02,1.763001e-01,1.180470e-01
5.837135e-01,1.601854e-02,1.601854e-02,2.967940e-01,2.311631e-01,8.904550e-02,4.502655e-02,1.698984e-01,1.117008e-01
5.738248e-01,3.788451e-02,3.788451e-02,4.316438e-01,2.381574e-01,8.161349e-02,3.548208e-03,2.817501e-01,2.235948e-01
5.922236e-01,2.931454e-01,1.755968e-01,5.096792e-01,2.463676e-01,7.421904e-02,2.835838e-02,3.158831e-01,2.577656e-01
